,A1NRY8F9U4AYE,A3TDR6MXS6UO5,A2YP8M9VHFXZV
11456,-100.0,-76.0,100.0
11467,-100.0,-75.5,100.0
11474,-100.0,-75.0,100.0
11477,-100.0,-74.33333333333333,100.0
11485,-100.0,-73.66666666666667,100.0
11486,-100.0,-73.0,100.0
11487,-100.0,,100.0
11492,-100.0,,100.0
11493,-100.0,,100.0
11509,-100.0,,100.0
11510,-100.0,,100.0
11519,-100.0,,100.0
11527,-100.0,,100.0
11544,-100.0,,100.0
11545,-100.0,,100.0
11562,-100.0,,100.0
11563,-100.0,,100.0
11580,-100.0,,100.0
11582,-100.0,,100.0
11597,-100.0,,100.0
11598,-100.0,,100.0
11614,-100.0,,100.0
11615,-100.0,,100.0
11624,-100.0,,100.0
11632,-100.0,,100.0
11633,-100.0,,100.0
11649,-100.0,,100.0
11651,-100.0,,100.0
11667,-100.0,,100.0
11668,-100.0,,100.0
11675,-100.0,,100.0
11685,-100.0,,100.0
11686,-100.0,,100.0
11701,-100.0,,100.0
11702,-100.0,,100.0
11708,-100.0,,100.0
11710,-100.0,,100.0
11726,-100.0,,100.0
11727,-100.0,,100.0
11744,-100.0,,100.0
11745,-100.0,,100.0
11763,-100.0,,100.0
11770,-100.0,,100.0
11780,-100.0,,100.0
11783,-100.0,,100.0
11795,-100.0,,100.0
11797,-100.0,,100.0
11814,-100.0,,100.0
11824,-100.0,,100.0
11829,-100.0,,100.0
11831,-100.0,,100.0
11849,-100.0,,100.0
11850,-100.0,,100.0
11851,-100.0,,100.0
11867,-100.0,,100.0
11868,-100.0,,100.0
11883,-100.0,,100.0
11886,-100.0,,100.0
11902,-100.0,,100.0
11903,-100.0,,100.0
11918,-100.0,,100.0
11921,-100.0,,100.0
11927,-100.0,,100.0
11928,-100.0,,100.0
11943,-100.0,,100.0
11945,-100.0,,100.0
11961,-100.0,,100.0
11963,-100.0,,100.0
11978,-100.0,,100.0
11981,-100.0,,100.0
11995,-100.0,,100.0
11998,-100.0,,100.0
12013,-100.0,,100.0
12016,-100.0,,100.0
12030,-100.0,,100.0
12034,-100.0,,100.0
12048,-100.0,,100.0
12051,-100.0,,100.0
12065,-100.0,,100.0
12069,-100.0,,100.0
12076,-100.0,,100.0
12082,-100.0,,100.0
12086,-100.0,,100.0
12100,-100.0,,100.0
12101,-100.0,,100.0
12103,-100.0,,100.0
12118,-100.0,,100.0
12122,-100.0,,100.0
12125,-100.0,,100.0
12127,-100.0,,100.0
12128,-100.0,,100.0
12142,-100.0,,100.0
12145,-100.0,,100.0
12146,-100.0,,100.0
12159,-100.0,,100.0
12164,-100.0,,100.0
12177,-100.0,,100.0
12181,-100.0,,100.0
12195,-100.0,,100.0
12198,-100.0,,100.0
12212,-100.0,,100.0
12216,-100.0,,100.0
12221,-100.0,,100.0
12230,-100.0,,100.0
12249,-100.0,,100.0
12250,-100.0,,100.0
12264,-100.0,,100.0
12274,-100.0,,100.0
12282,-100.0,,100.0
12299,-100.0,,100.0
12300,-100.0,,100.0
12317,-100.0,,100.0
12327,-100.0,,100.0
