,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
255710,-100.0,-100.0,-100.0
255727,-100.0,-100.0,-100.0
255743,-100.0,-100.0,-100.0
255760,-100.0,-100.0,-100.0
255778,-100.0,-100.0,-100.0
256026,-100.0,-100.0,-100.0
256044,-100.0,-100.0,-100.0
256063,-100.0,-100.0,-100.0
256077,-100.0,-100.0,-100.0
256093,-100.0,-100.0,-100.0
256110,-100.0,-100.0,-100.0
256127,-100.0,-100.0,-100.0
256143,-100.0,-100.0,-100.0
256160,-100.0,-100.0,-100.0
256177,-100.0,-100.0,-100.0
256193,-100.0,-100.0,-100.0
256210,-100.0,-100.0,-100.0
256227,-100.0,-100.0,-100.0
284086,-100.0,-100.0,-100.0
284103,-100.0,-100.0,-100.0
284119,-100.0,-100.0,-100.0
284136,-100.0,-100.0,-100.0
284153,-100.0,-100.0,-100.0
284163,-100.0,-100.0,-100.0
284169,-100.0,-100.0,-99.5
284180,-100.0,-100.0,-99.0
284186,-100.0,-100.0,-98.5
284197,-100.0,-100.0,-98.0
284203,-100.0,-100.0,-97.5
284213,-100.0,-100.0,-97.0
284219,-100.0,-100.0,-96.5
284230,-100.0,-100.0,-96.0
284236,-100.0,-100.0,-95.5
284247,-100.0,-100.0,-95.0
284253,-100.0,-100.0,-94.5
284264,-100.0,-100.0,-94.0
284269,-100.0,-100.0,-93.5
284280,-100.0,-100.0,-93.0
284286,-100.0,-100.0,-92.5
284297,-100.0,-100.0,-92.0
284303,-100.0,-100.0,-91.5
284314,-100.0,-100.0,-91.0
284320,-100.0,-100.0,-90.0
284330,-100.0,-100.0,-89.0
284336,-100.0,-100.0,-88.5
284347,-100.0,-100.0,-88.0
284353,-100.0,-100.0,-87.5
284364,-100.0,-100.0,-87.0
284369,-100.0,-100.0,-86.5
284380,-100.0,-100.0,-86.0
284386,-100.0,-100.0,-85.5
284397,-100.0,-100.0,-85.0
284403,-100.0,-100.0,-84.5
284414,-100.0,-100.0,-84.0
284419,-100.0,-100.0,-83.5
284430,-100.0,-100.0,-83.0
284436,-100.0,-100.0,-82.5
284447,-100.0,-100.0,-82.0
284453,-100.0,-100.0,-81.5
284464,-100.0,-100.0,-81.0
284469,-100.0,-100.0,-80.0
284480,-100.0,-100.0,-79.0
284486,-100.0,-100.0,-78.5
284497,-100.0,-100.0,-78.0
284503,-100.0,-100.0,-77.5
284514,-100.0,-100.0,-77.0
284519,-100.0,-100.0,-76.5
284530,-100.0,-100.0,-76.0
284536,-100.0,-100.0,-75.5
284547,-100.0,-100.0,-75.0
284553,-100.0,-100.0,-74.5
284564,-100.0,-100.0,-74.0
284569,-100.0,-100.0,-73.5
284580,-100.0,-100.0,-73.0
284586,-100.0,-100.0,-72.5
284597,-100.0,-100.0,-72.0
284603,-100.0,-100.0,-71.5
284614,-100.0,-100.0,-71.0
284619,-100.0,-100.0,-70.0
284632,-100.0,-100.0,-69.0
284636,-100.0,-100.0,-68.33333333333333
284653,-100.0,-100.0,-67.66666666666667
284664,-100.0,-100.0,-67.0
284669,-100.0,-100.0,-66.5
284680,-100.0,-100.0,-66.0
284686,-100.0,-100.0,-65.33333333333333
284703,-100.0,-100.0,-64.66666666666667
284714,-100.0,-100.0,-64.0
284719,-100.0,-100.0,-63.5
