,A3UTSRN8QLKWE,A3ST8XFT4X93K,A2YN6Z2DAW88X,A6PO7JT39QQGP
33874,-100.0,-100.0,-100.0,-74.0
33884,-100.0,-100.0,-100.0,-74.0
33905,-100.0,-100.0,-100.0,-74.0
33927,-100.0,-100.0,-100.0,-74.0
33947,-100.0,-100.0,-100.0,-74.0
33969,-100.0,-100.0,-100.0,-74.0
33990,-100.0,-100.0,-100.0,-74.0
34011,-100.0,-100.0,-100.0,-74.0
34031,-100.0,-100.0,-100.0,-74.0
34054,-100.0,-100.0,-100.0,-74.0
34075,-100.0,-100.0,-100.0,-74.0
34095,-100.0,-100.0,-100.0,-74.0
34106,-100.0,-100.0,-100.0,-74.0
34128,-100.0,-100.0,-100.0,-74.0
34147,-100.0,-100.0,-100.0,-74.0
34169,-100.0,-100.0,-100.0,-74.0
34190,-100.0,-100.0,-100.0,-74.0
34211,-100.0,-100.0,-100.0,-74.0
34232,-100.0,-100.0,-100.0,-74.0
34253,-100.0,-100.0,-100.0,-74.0
34276,-100.0,-100.0,-100.0,-74.0
34293,-100.0,-100.0,-100.0,-74.0
34315,-100.0,-100.0,-100.0,-74.0
34326,-100.0,-100.0,-100.0,-74.0
34348,-100.0,-100.0,-100.0,-74.0
34367,-100.0,-100.0,-100.0,-74.0
34389,-100.0,-100.0,-100.0,-74.0
34409,-100.0,-100.0,-100.0,-74.0
34430,-100.0,-100.0,-100.0,-74.0
34451,-100.0,-100.0,-100.0,-74.0
34473,-100.0,-100.0,-100.0,-74.0
34492,-100.0,-100.0,-100.0,-74.0
