,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A371SNJNNUY9Z,AN26GE0GN8DP0
50482,-100.0,-100.0,-100.0,100.0
50493,-100.0,-100.0,-100.0,100.0
50500,-100.0,-100.0,-100.0,100.0
50507,-100.0,-100.0,-100.0,100.0
50518,-100.0,-100.0,-100.0,100.0
50536,-100.0,-100.0,-100.0,100.0
50553,-100.0,-100.0,-100.0,100.0
50570,-100.0,-100.0,-100.0,100.0
50574,-100.0,-100.0,-100.0,100.0
50588,-100.0,-100.0,-100.0,100.0
50593,-100.0,-100.0,-100.0,100.0
50605,-100.0,-100.0,-100.0,100.0
50619,-100.0,-100.0,-100.0,100.0
50622,-100.0,-100.0,-100.0,100.0
50642,-100.0,-100.0,-100.0,100.0
50647,-100.0,-100.0,-100.0,100.0
50661,-100.0,-100.0,-100.0,100.0
50675,-100.0,-100.0,-100.0,100.0
50685,-100.0,-100.0,-100.0,100.0
50693,-100.0,-100.0,-100.0,100.0
50697,-100.0,-100.0,-100.0,100.0
50711,-100.0,-100.0,-100.0,100.0
50717,-100.0,-100.0,-100.0,100.0
50719,-100.0,-100.0,-100.0,100.0
50746,-100.0,-100.0,-100.0,100.0
50751,-100.0,-100.0,-100.0,100.0
50769,-100.0,-100.0,-100.0,100.0
50771,-100.0,-100.0,-100.0,100.0
50787,-100.0,-100.0,-100.0,100.0
50793,-100.0,-100.0,-100.0,100.0
50804,-100.0,-100.0,-100.0,100.0
50823,-100.0,-100.0,-100.0,100.0
50830,-100.0,-100.0,-100.0,100.0
50837,-100.0,-100.0,-100.0,100.0
50840,-100.0,-100.0,-100.0,100.0
50854,-100.0,-100.0,-100.0,100.0
50856,-100.0,-100.0,-100.0,100.0
50860,-100.0,-100.0,-100.0,100.0
50864,-100.0,-100.0,-100.0,100.0
50874,-100.0,-100.0,-100.0,100.0
50875,-100.0,-100.0,-100.0,100.0
50891,-100.0,-100.0,-100.0,100.0
50905,-100.0,-100.0,-100.0,100.0
50910,-100.0,-100.0,-100.0,100.0
50911,-100.0,-100.0,-100.0,100.0
50917,-100.0,-100.0,-100.0,100.0
50931,-100.0,-100.0,-100.0,100.0
50933,-100.0,-100.0,-100.0,100.0
50941,-100.0,-100.0,-100.0,100.0
50951,-100.0,-100.0,-100.0,100.0
50969,-100.0,-100.0,-100.0,100.0
50977,-100.0,-100.0,-100.0,100.0
50986,-100.0,-100.0,-100.0,100.0
51001,-100.0,-100.0,-100.0,100.0
51004,-100.0,-100.0,-100.0,100.0
51018,-100.0,-100.0,-100.0,100.0
51022,-100.0,-100.0,-100.0,100.0
51040,-100.0,-100.0,-100.0,100.0
51047,-100.0,-100.0,-100.0,100.0
51057,-100.0,-100.0,-100.0,100.0
51058,-100.0,-100.0,-100.0,100.0
51070,-100.0,-100.0,-100.0,100.0
51088,-100.0,-100.0,-100.0,100.0
51091,-100.0,-100.0,-100.0,100.0
51109,-100.0,-100.0,-100.0,100.0
51127,-100.0,-100.0,-100.0,100.0
51143,-100.0,-100.0,-100.0,100.0
51145,-100.0,-100.0,-100.0,100.0
51150,-100.0,-100.0,-100.0,100.0
51156,-100.0,-100.0,-100.0,100.0
51186,-100.0,-100.0,-100.0,100.0
51198,-100.0,-100.0,-100.0,100.0
51205,-100.0,-100.0,-100.0,100.0
