,A2RJBMEEVBZ8E,A1NTYZ6IERUPC
71321,-100.0,-100.0
71324,-100.0,-100.0
71332,-100.0,-100.0
71336,-100.0,-100.0
71349,-100.0,-100.0
71353,-100.0,-100.0
71367,-100.0,-100.0
71381,-100.0,-100.0
71385,-100.0,-100.0
71402,-100.0,-100.0
71409,-100.0,-100.0
71420,-100.0,-100.0
71437,-100.0,-100.0
71442,-100.0,-100.0
71456,-100.0,-100.0
71468,-100.0,-100.0
71472,-100.0,-100.0
71477,-100.0,-100.0
71489,-100.0,-100.0
71490,-100.0,-100.0
71507,-100.0,-100.0
71512,-100.0,-100.0
71525,-100.0,-100.0
71532,-100.0,-100.0
71539,-100.0,-100.0
71549,-100.0,-100.0
71550,-100.0,-100.0
71561,-100.0,-100.0
71582,-100.0,-100.0
71583,-100.0,-100.0
71601,-100.0,-100.0
71606,-100.0,-100.0
71614,-100.0,-100.0
71619,-100.0,-100.0
71636,-100.0,-100.0
71638,-100.0,-100.0
71647,-100.0,-100.0
71654,-100.0,-100.0
71656,-100.0,-100.0
71666,-100.0,-100.0
71672,-100.0,-100.0
71680,-100.0,-100.0
71688,-100.0,-100.0
71693,-100.0,-100.0
71707,-100.0,-100.0
71714,-100.0,-100.0
71724,-100.0,-100.0
71741,-100.0,-100.0
71750,-100.0,-100.0
71752,-100.0,-100.0
71767,-100.0,-100.0
71779,-100.0,-100.0
71783,-100.0,-100.0
71800,-100.0,-100.0
71803,-100.0,-100.0
71813,-100.0,-100.0
71818,-100.0,-100.0
71825,-100.0,-100.0
71836,-100.0,-100.0
71840,-100.0,-100.0
71854,-100.0,-100.0
71871,-100.0,-100.0
71876,-100.0,-100.0
71888,-100.0,-100.0
71906,-100.0,-100.0
71911,-100.0,-100.0
71921,-100.0,-100.0
71924,-100.0,-100.0
71936,-100.0,-100.0
71941,-100.0,-100.0
71949,-100.0,-100.0
71951,-100.0,-100.0
71964,-100.0,-100.0
71977,-100.0,-100.0
71983,-100.0,-100.0
72007,-100.0,-100.0
72016,-100.0,-100.0
72026,-100.0,-100.0
72039,-100.0,-100.0
72065,-100.0,-100.0
72073,-100.0,-100.0
72085,-100.0,-100.0
72106,-100.0,-100.0
72133,-100.0,-100.0
72144,-100.0,-100.0
72154,-100.0,-100.0
72179,-100.0,-100.0
72217,-100.0,-100.0
72248,-100.0,-100.0
72266,-100.0,-100.0
72274,-100.0,-100.0
72284,-100.0,-100.0
72309,-100.0,-100.0
72335,-100.0,-100.0
72347,-100.0,-100.0
72357,-100.0,-100.0
72379,-100.0,-100.0
