,A2RG35OL29USI,A2YP8M9VHFXZV,A1L7EVNM2HF85,A2YN6Z2DAW88X,A2Q3SM0KEI497,A1R09GS9W47R5
60984,,-100.0,,-39.0,-100.0,
60988,,-100.0,,-39.0,-100.0,
61003,,-100.0,,-38.0,-100.0,
61012,,-100.0,,-38.0,-100.0,
61021,,-100.0,,-37.0,-100.0,
61026,,-100.0,,-37.0,-100.0,
61040,,-100.0,,-36.0,-100.0,
61048,,-100.0,,-35.0,-100.0,
61051,,-100.0,,-35.0,-100.0,
61060,,-100.0,,-34.0,-100.0,
61066,,-100.0,,-34.0,-100.0,
61081,,-100.0,,-33.0,-100.0,
61091,,-100.0,,-33.0,-100.0,
61101,,-100.0,,-32.0,-100.0,
61106,,-100.0,,-32.0,-100.0,
61122,,-100.0,,-31.0,-100.0,
61128,,-100.0,,-31.0,-100.0,
