,AMWN796XA8EMA,A2RG35OL29USI,A1CF1W8CP0DHB,A21LNC7SH15DN
75563,-100.0,-100.0,-100.0,-100.0
75568,-100.0,-100.0,-100.0,-100.0
75595,-100.0,-100.0,-100.0,-100.0
75601,-100.0,-100.0,-100.0,-100.0
75620,-100.0,-100.0,-100.0,-100.0
75627,-100.0,-100.0,-100.0,-100.0
75629,-100.0,-100.0,-100.0,-100.0
75639,-100.0,-100.0,-100.0,-100.0
75642,-100.0,-100.0,-100.0,-100.0
75643,-100.0,-100.0,-100.0,-100.0
75645,-100.0,-100.0,-100.0,-100.0
75674,-100.0,-100.0,-100.0,-100.0
75678,-100.0,-100.0,-100.0,-100.0
75681,-100.0,-100.0,-100.0,-100.0
75686,-100.0,-100.0,-100.0,-100.0
75699,-100.0,-100.0,-100.0,-100.0
75703,-100.0,-100.0,-100.0,-100.0
75715,-100.0,-100.0,-100.0,-100.0
75718,-100.0,-100.0,-100.0,-100.0
75719,-100.0,-100.0,-100.0,-100.0
75746,-100.0,-100.0,-100.0,-100.0
75751,-100.0,-100.0,-100.0,-100.0
75755,-100.0,-100.0,-100.0,-100.0
