,A2APLCDM5WB4D,AZSSG2REHDX18,AF8GOPFSTWCH8,AD2M4BF7KYVQW,ASL9LVC97FUCZ
45241,,-77.0,-20.0,-96.0,47.0
45306,,-77.0,-20.0,-96.0,45.0
45317,,-77.0,-20.0,-96.0,43.0
45350,,-77.0,-20.0,-96.0,39.0
45367,,-77.0,-20.0,-96.0,38.0
52712,,-77.0,-20.0,-96.0,38.0
52713,-14.0,-77.0,-20.0,-96.0,38.0
52766,-13.0,-77.0,-20.0,-96.0,38.0
52821,-11.0,-77.0,-20.0,-96.0,38.0
52881,-8.0,-77.0,-20.0,-96.0,38.0
52922,-7.0,-77.0,-20.0,-96.0,38.0
52923,,-77.0,-20.0,-96.0,38.0
53899,,-77.0,-20.0,-96.0,38.0
53917,,-77.0,-20.0,-96.0,37.0
53950,,-77.0,-20.0,-96.0,35.0
